Change,Excluded,Original,en,it,
,,Dryad Blossom,Dryad Blossom,Fiore di driade,
NEW,,"A small, bud-like growth from 
a sentient plant creature.",,,
,,Abyssal Light Organ,Abyssal Light Organ,Organo di luce abissale,
NEW,,"A pulsing organ from a strange
deep sea creature.",,,
,,Cyborg Memory Core,Cyborg Memory Core,Nucleo di memoria cyborg,
NEW,,"A small storage drive from a 
cybernetic organism.",,,
,,Nightmare Talon,Nightmare Talon,Artiglio da incubo,
NEW,,"The elongated finger of a 
nightmare creature.",,,
,,Meteorite Core Fragment,Meteorite Core Fragment,Frammento di nucleo di meteorite,
NEW,,"A strange rock that fell from 
a meteor beast.",,,
,,Scorpion Venom Sac,Scorpion Venom Sac,Borsa con veleno di scorpione,
NEW,,"A small flask containing the 
venom of a giant scorpion.",,,
,,Interdimensional Relic,Interdimensional Relic,Reliquia trandimensionale,
NEW,,"A strange bone-like structure 
from another dimension.",,,
,,Ancient Wyrm Scale,Ancient Wyrm Scale,Antica Scala del Drago,
NEW,,"A single scale from an ancient
wyrm.",,,
,,Gargoyle Heart,Gargoyle Heart,Cuore di Gargoyle,
NEW,,"The beating heart of a stone 
gargoyle.",,,
,,Unidentified Item,Unidentified Item,Oggetto non identificato,
,,Steel ingot,Steel ingot,Lingotto di ferro,
,,Crafting material,Crafting material,Materiale da crafting,
,,Titanium ingot,Titanium ingot,Lingotto di titanio,
,,Varlenia Ingot,Varlenia Ingot,Lingotto di Varlenia,
,,Crystal,Crystal,Cristallo,
,,Glass,Glass,Vetro,
,,Wood,Wood,Legname,
,,Leather,Leather,Pelle,
,,Cloth,Cloth,Tessuto ,
,,Bone,Bone,Ossa,
,,Meat,Meat,Carne ,
,,Plant matter,Plant matter,Biomateria,
,,Herb extract,Herb extract,Estratto di erbe,
,,Oil Flask,Oil Flask,Tanica di petrolio,
,,Acidic Solution,Acidic Solution,Soluzione acidica,
,,Arcane Essence ,Arcane Essence ,Essenza arcana,
,,Ethereal Shard ,Ethereal Shard ,Frammento etereo,
,,Quantum Core ,Quantum Core ,Nucleo quantico,
,,Circuit Board ,Circuit Board ,Circuito stampato,
,,Microchip ,Microchip ,Microprocessore,
,,Battery Cell ,Battery Cell ,Cella batteria,
,,Plastic Polymer ,Plastic Polymer ,Polymero di plastica,
,,Composite Resin,Composite Resin,Resina composita,
,,Nanotube Module,Nanotube Module,Nanotubo,
NEW,,Newspaper,,,
NEW,,The latest news from Europe.,,,
NEW,,"
[Weapons]
",,,
,,Short Sword,Short Sword,Spada corta,
,,A light and easy-to-wield short-bladed sword.,A light and easy-to-wield short-bladed sword.,"Una spada a lama corta, leggera e facile da
maneggiare.",
,,Long Sword,Long Sword,Spada lunga,
,,A long battle sword boasting a sharp cut.,A long battle sword boasting a sharp cut.,Una lunga spada da battaglia dal taglio netto.,
,,Falchion,Falchion,Falcione,
,,A wide sword with a curved blade.,A wide sword with a curved blade.,Una spada larga con lama curva.,
,,Mithril Sword,Mithril Sword,Spada di Mithril,
,,A long sword forged with mithril.,A long sword forged with mithril.,Una lunga spada forgiata con mithril.,
,,Dragon Blade,Dragon Blade,Lama del drago,
,,A sword forged from the fangs of a dragon.,A sword forged from the fangs of a dragon.,Una spada forgiata dalle zanne di un drago.,
,,Wooden Staff,Wooden Staff,Bastone di legno,
,,An inexpensive and widely-used staff.,An inexpensive and widely-used staff.,Un bastone poco costoso e ampiamente utilizzato.,
,,Magic Wand,Magic Wand,Bacchetta magica,
NEW,,"A wand that slightly increases its wielder's 
magical powers.",,,
,,Force Wand,Force Wand,Bacchetta della Forza,
NEW,,"A silver wand that increases its wielder's magical
powers.",,,
,,Mithril Rod,Mithril Rod,Verga di mithril,
NEW,,"A mithril rod that increases its wielder's magical
powers.",,,
,,Dragon Staff,Dragon Staff,Bastone del drago,
NEW,,"A dragon staff that increases its wielder's 
magical powers.",,,
,,Stone Flail,Stone Flail,Flagello di pietra,
NEW,,"A flail with a stone head attached to its handle 
with a chain.",,,
,,Bronze Flail,Bronze Flail,Flagello di bronzo,
NEW,,"A flail with a bronze head attached to its handle 
with a chain.",,,
,,Morning Star,Morning Star,Stella del mattino,
,,A flail that has been strengthened with steel.,A flail that has been strengthened with steel.,Un flagello rinforzato con acciaio.,
,,Mithril Flail,Mithril Flail,Flagello di mithril,
,,A flail that has been strengthened with mithril.,A flail that has been strengthened with mithril.,Un flagello rinforzato con mithril.,
,,Dragon Flail,Dragon Flail,Flagello del drago,
NEW,,"A flail that has been strengthened using fangs of 
a dragon.",,,
,,Hand Axe,Hand Axe,Ascia a mano,
,,A small axe used for logging trees.,A small axe used for logging trees.,Una piccola ascia usata per tagliare gli alberi.,
,,Battle Axe,Battle Axe,Ascia da battaglia,
,,A double-edged axe made for battle.,A double-edged axe made for battle.,Un'ascia a doppio taglio creata per la battaglia.,
,,Bardiche,Bardiche,Bardiche,
,,A battle axe with a crescent-shaped blade.,A battle axe with a crescent-shaped blade.,"Un'ascia da battaglia con lama a forma di
mezzaluna.",
,,Mithril Axe,Mithril Axe,Ascia di Mithril,
,,A battle axe forged with mithril.,A battle axe forged with mithril.,Un'ascia da battaglia forgiata con mithril.,
,,Dragon Axe,Dragon Axe,Ascia del drago,
,,A battle axe forged from the fangs of a dragon.,A battle axe forged from the fangs of a dragon.,"Un'ascia da battaglia forgiata con le zanne di un
drago.",
,,Short Spear,Short Spear,Lancia corta,
,,A short spear specialized for thrusting.,A short spear specialized for thrusting.,Una lancia corta,
,,Long Spear,Long Spear,Lancia lunga,
,,A spear with the longest handle possible.,A spear with the longest handle possible.,Una lancia con il manico più lungo possibile.,
,,Halberd,Halberd,Alabarda,
,,A spear with an axe-head at its tip.,A spear with an axe-head at its tip.,Una lancia con un'ascia sulla punta.,
,,Mithril Spear,Mithril Spear,Lancia di mithril,
,,A spear forged with mithril.,A spear forged with mithril.,Una lancia forgiata con mithril.,
,,Dragon Spear,Dragon Spear,Lancia del drago,
,,A spear forged from the fangs of a dragon.,A spear forged from the fangs of a dragon.,Una lancia forgiata con le zanne di un drago.,
,,Cestus,Cestus,Cestus,
NEW,,"A battle glove with spikes attached to its 
knuckles.",,,
,,Bagh Naka,Bagh Naka,Bagh Naka,
,,A combat weapon with 4 short claws attached.,A combat weapon with 4 short claws attached.,"Un'arma da combattimento dotata di 4 artigli
corti.",
,,Iron Claw,Iron Claw,Artiglio di ferro,
,,A combat weapon with iron talons attached.,A combat weapon with iron talons attached.,"Un'arma da combattimento dotata di artigli di
ferro.",
,,Mithril Claw,Mithril Claw,Artiglio di Mithril,
,,A combat weapon with mithril talons attached.,A combat weapon with mithril talons attached.,Un'arma da combattimento con artigli di mithril.,
,,Dragon Claw,Dragon Claw,Artiglio del drago,
,,A combat weapon with dragon talons attached.,A combat weapon with dragon talons attached.,"Un'arma da combattimento con artigli di drago
attaccati.",
,,Short Bow,Short Bow,Arco corto,
,,A short bow made for hunting.,A short bow made for hunting.,Un arco corto pensato per la caccia.,
,,Long Bow,Long Bow,Arco lungo,
,,A long bow for battle with superior power.,A long bow for battle with superior power.,"Un arco lungo per la battaglia con potenza
superiore.",
,,Crossbow,Crossbow,Balestra,
NEW,,"A crossbow that shoots arrows with powerful 
springs.",,,
,,Mithril Bow,Mithril Bow,Arco di mithril,
NEW,,"A crossbow that shoots mithril arrows with 
powerful springs.",,,
,,Dragon Bow,Dragon Bow,Arco del drago,
,,A long bow for battle made with dragon's whiskers.,A long bow for battle made with dragon's whiskers.,"Un lungo arco da battaglia realizzato con baffi di
drago.",
,,Knife,Knife,Coltello,
,,A knife used for day-to-day tasks.,A knife used for day-to-day tasks.,Un coltello utilizzato per le attività quotidiane.,
,,Daggar,Daggar,Rugiada,
,,A short blade used in close combat.,A short blade used in close combat.,"Una lama corta usata nel combattimento
ravvicinato.",
,,Machete,Machete,Machete,
,,A dagger with a thicker, sturdier blade.,A dagger with a thicker, sturdier blade.
,,Mithril Daggar,Mithril Daggar,Pugnale di mithril,
,,A dagger forged with mithril.,A dagger forged with mithril.,Un pugnale forgiato con mithril.,
,,Dragon Daggar,Dragon Daggar,Daggar di drago,
,,A dagger forged from the fangs of a dragon.,A dagger forged from the fangs of a dragon.,Un pugnale forgiato con le zanne di un drago.,
,,Bronze Age Sword,Bronze Age Sword,Spada dell'età del bronzo,
,,An ancient bronze sword from early civilizations.,An ancient bronze sword from early civilizations.,"Un'antica spada di bronzo risalente alle prime
civiltà.",
,,Scimitar,Scimitar,Scimitarra,
,,A curved blade used by desert warriors.,A curved blade used by desert warriors.,Lama curva usata dai guerrieri del deserto.,
,,Zweihander,Zweihander,Zweihander,
,,A massive two-handed greatsword.,A massive two-handed greatsword.,Un'enorme spada a due mani.,
,,Rapier,Rapier,Stocco,
,,An elegant blade with excellent balance.,An elegant blade with excellent balance.,Una lama elegante con un equilibrio eccellente.,
,,Katana,Katana,Katana,
NEW,,"A traditional Japanese sword with exceptional 
cutting power.",,,
,,Runic Blade,Runic Blade,Lama runica,
NEW,,"A blade infused with ancient runes that glow with 
power.",,,
,,Shadowsteel Sword,Shadowsteel Sword,Spada d'acciaio ombra,
NEW,,"A blade that absorbs light, becoming almost 
invisible when swung.",,,
,,Pistol,Pistol,Pistola,
,,A basic handgun with moderate stopping power.,A basic handgun with moderate stopping power.,Una pistola di base con potere d'arresto moderato.,
,,Shotgun,Shotgun,Fucile a pompa,
NEW,,"A pump-action shotgun with devastating close-range
power.",,,
,,Assault Rifle,Assault Rifle,Fucile d'assalto,
NEW,,"A military-grade automatic rifle with excellent 
accuracy.",,,
,,Sniper Rifle,Sniper Rifle,Fucile da cecchino,
NEW,,"A high-powered rifle for extreme long-range 
precision.",,,
,,SMG,Smg,Smg,
,,A compact submachine gun with high rate of fire.,A compact submachine gun with high rate of fire.,"Una mitraglietta compatta con elevata cadenza di
fuoco.",
,,Boomerang,Boomerang,Boomerang,
NEW,,"A curved throwing stick that returns to the 
thrower.",,,
,,Sling,Sling,Fionda,
,,A sling used to hurl stones with deadly force.,A sling used to hurl stones with deadly force.,"Fionda usata per scagliare pietre con potenza
letale.",
,,Dory Spear,Dory Spear,Lancia Dorica,
,,A bronze-tipped spear from ancient Greece.,A bronze-tipped spear from ancient Greece.,Una lancia con punta in bronzo dell'antica grecia.,
,,War Club,War Club,Mazza da guerra,
,,A wooden club reinforced with bronze spikes.,A wooden club reinforced with bronze spikes.,Una mazza di legno rinforzata con punte di bronzo.,
,,Khopesh,Khopesh,Khopesh,
,,A curved Egyptian sword-like weapon.,A curved Egyptian sword-like weapon.,Un'arma egizia curva simile a una spada.,
,,War Hammer,War Hammer,Martello da guerra,
,,A heavy war hammer capable of crushing armor.,A heavy war hammer capable of crushing armor.,"Un pesante martello da guerra in grado di
distruggere le armature.",
,,Poleaxe,Poleaxe,Poleax,
,,A long polearm with an axe blade and spike.,A long polearm with an axe blade and spike.,Una lunga arma inastata con lama d'ascia e punta.,
,,Flail,Flail,Flagello,
,,A spiked ball on a chain attached to a handle.,A spiked ball on a chain attached to a handle.,"Una palla chiodata attaccata a una catena e a un
manico.",
,,Gladiator Net,Gladiator Net,Rete del gladiatore,
,,A weighted net used to entangle opponents.,A weighted net used to entangle opponents.,Una rete usata per intrappolare gli avversari.,
,,Katar,Katar,Katar,
,,A set of bladed tonfa-like weapons.,A set of bladed tonfa-like weapons.,Un set di armi da taglio simili ai tonfa.,
,,Combat Knife,Combat Knife,Coltello da combattimento,
,,A compact tactical knife for close quarters.,A compact tactical knife for close quarters.,"Un coltello tattico compatto per gli scontri
ravvicinati.",
,,Compound Bow,Compound Bow,Arco composito,
,,A special forces carbon fiber composite bow.,A special forces carbon fiber composite bow.,"Un arco composito in fibra di carbonio per le
forze speciali.",
,,Heavy Machine Gun,Heavy Machine Gun,Mitragliatrice pesante,
,,A military-grade .50 caliber machine gun.,A military-grade .50 caliber machine gun.,"Una mitragliatrice calibro .50 di livello
militare.",
,,RPG,Rpg,Rpg,
,,A portable shoulder-mounted rocket launcher.,A portable shoulder-mounted rocket launcher.,Un lanciarazzi portatile da spalla.,
,,Brass Knuckles,Brass Knuckles,Tirapugni,
,,A set of brass knuckles for hand-to-hand combat.,A set of brass knuckles for hand-to-hand combat.,"Un set di tirapugni in ottone per il combattimento
corpo a corpo.",
,,Plasma Rifle,Plasma Rifle,Fucile al plasma,
,,An energy-based firearm that fires plasma bolts.,An energy-based firearm that fires plasma bolts.,"Un'arma da fuoco a energia che spara proiettili al
plasma.",
,,Energy Blade,Energy Blade,Lama energetica,
NEW,,"A sword with an energy blade that can cut through 
almost anything.",,,
,,Sonic Gauntlet,Sonic Gauntlet,Guanto sonico,
,,A gauntlet that generates sonic shockwaves.,A gauntlet that generates sonic shockwaves.,Un guanto che genera onde d'urto soniche.,
,,Laser Rifle,Laser Rifle,Fucile laser,
,,A rifle that fires concentrated beams of light.,A rifle that fires concentrated beams of light.,Un fucile che spara fasci di luce concentrati.,
,,Gravity Crusher,Gravity Crusher,Gravity Crusher,
NEW,,"A launcher that creates miniature gravity wells to
crush targets.",,,
,,Flamesong Blade,Flamesong Blade,Lama del Canto di Fiamme,
,,A shortsword that bursts into flames when drawn.,A shortsword that bursts into flames when drawn.,"Una spada corta che prende fuoco quando viene
estratta.",
,,Void Edge,Void Edge,Taglio del Vuoto,
NEW,,"A massive sword carved from a single piece of 
obsidian.",,,
,,World Tree Staff,World Tree Staff,Bastone dell'Albero del Mondo,
NEW,,"A staff made from the World Tree, resonating with 
nature.",,,
,,Aetherial Bow,Aetherial Bow,Arco Eterico,
,,A bow that forms arrows from pure magical energy.,A bow that forms arrows from pure magical energy.,"Un arco che forma frecce utilizzando pura energia
magica.",
,,Thornwhip,Thornwhip,Frusta di spina,
NEW,,"A whip made from enchanted thorns that drain life 
force.",,,
,,Flying Ring Chain,Flying Ring Chain,Catena ad anello volante,
NEW,,"A chain of razor-sharp rings that can be thrown or
used as a whip.",,,
,,Urumi,Urumi,Urumi,
,,A flexible sword made of connected segments.,A flexible sword made of connected segments.,"Una spada flessibile composta da segmenti
collegati.",
,,Three-Section Staff,Three-Section Staff,Bastone a tre sezioni,
,,A three-sectioned staff connected by chains.,A three-sectioned staff connected by chains.,"Un bastone composto da tre sezioni collegate da
catene.",
,,Deer Horn Knives,Deer Horn Knives,Coltelli in corno di cervo,
,,A pair of crescent-shaped blades with handles.,A pair of crescent-shaped blades with handles.,"Un paio di lame a forma di mezzaluna con
impugnatura.",
,,Poison Blowpipe,Poison Blowpipe,Cerbottana velenosa,
,,A blowgun that fires poison-tipped darts.,A blowgun that fires poison-tipped darts.,"Una cerbottana che spara dardi con punta
avvelenata.",
,,Cyberarm Cannon,Cyberarm Cannon,Cannone impiantato,
NEW,,"An implanted arm cannon that fires concussive 
energy blasts.",,,
,,Neural Claws,Neural Claws,Artigli neurali,
NEW,,"Retractable titanium claws embedded in cybernetic 
hands.",,,
,,Micro-Missile Array,Micro-Missile Array,Sistema griglia micro-missile,
NEW,,"A shoulder-mounted targeting system firing guided 
mini-rockets.",,,
,,Polymorphic Arsenal,Polymorphic Arsenal,Arsenale polimorfico,
NEW,,"A neural-linked weapon that morphs between blade 
and gun modes.",,,
,,Optical Beam System,Optical Beam System,Sistema a fascio ottico,
,,Ocular implants that fire focused energy beams.,Ocular implants that fire focused energy beams.,"Impianti oculari che emettono raggi energetici
concentrati.",
,,Thundercaller Staff,Thundercaller Staff,Staff di Thundercaller,
NEW,,"A staff that summons and controls lightning 
strikes.",,,
,,Eternal Flame Sword,Eternal Flame Sword,Spada della Fiamma Eterna,
,,A blade forged in dragon fire that never cools.,A blade forged in dragon fire that never cools.,"Una lama forgiata nel fuoco del drago che non si
raffredda mai.",
,,Frostbite Bow,Frostbite Bow,Arco Frostbite,
NEW,,"A bow that fires arrows of pure ice that freeze on
impact.",,,
,,Earthshaker Maul,Earthshaker Maul,Maglio scossore della terra,
,,A hammer infused with the power of earthquakes.,A hammer infused with the power of earthquakes.,Un martello infuso della potenza dei terremoti.,
,,Tempest Trident,Tempest Trident,Tridente della Tempesta,
NEW,,"A trident that commands the power of raging 
storms.",,,
,,Excalibur,Excalibur,Excalibur,
NEW,,"The mythical sword of King Arthur, glowing with 
holy power.",,,
,,Mjölnir,Mjölnir,Mjollnir,
NEW,,"The mighty hammer of the thunder god, which 
returns when thrown.",,,
,,Dimensional Cutter,Dimensional Cutter,Taglierino transdimensionale,
NEW,,"A mysterious blade said to be able to cut through 
dimensions.",,,
,,Divine Talons,Divine Talons,Tacchi divini,
NEW,,"A pair of golden claws said to be worn by a god of
war.",,,
,,Staff of Eternity,Staff of Eternity,Bastone dell'eternità,
NEW,,"A staff holding the wisdom of the ages and 
limitless magical power.",,,
,,Volt Edge,Volt Edge,Volt Edge,
NEW,,"An ancient sword constantly surrounded by 
crackling electricity.",,,
,,Explosive Crossbow,Explosive Crossbow,Balestra esplosiva,
,,A crossbow that fires bolts with explosive tips.,A crossbow that fires bolts with explosive tips.,Una balestra che spara dardi con punte esplosive.,
,,Luminous Kukris,Luminous Kukris,Kukri luminosi,
NEW,,"A pair of enchanted curved daggers that leave 
trails of light.",,,
,,Dragon Scale Blade,Dragon Scale Blade,Lama di scaglie di drago,
NEW,,"A sword with a serrated edge made from dragon 
scales.",,,
,,Paralyzer,Paralyzer,Paralizzatore,
NEW,,"A dart gun that fires needles coated with 
paralyzing toxin.",,,
,,Yggdrasil Branch,Yggdrasil Branch,Ramo di Yggdrasil,
NEW,,"A staff carved from a branch of the ancient World 
Tree.",,,
,,Astral Saber,Astral Saber,Sciabola astrale,
NEW,,"A curved blade that glows with the light of a 
distant star.",,,
,,Adamantine Fists,Adamantine Fists,Pugni Adamantini,
NEW,,"A pair of heavy steel gauntlets reinforced with 
adamantine.",,,
,,Splitting Shuriken,Splitting Shuriken,Shuriken a grappolo,
NEW,,"A throwing blade that splits into multiple 
projectiles in flight.",,,
,,Iron Tonfa,Iron Tonfa,Tonfa di ferro,
NEW,,"A pair of arm-mounted iron tonfa used in various 
martial arts.",,,
,,Training Nunchaku,Training Nunchaku,Nunchaku da allenamento,
NEW,,"Wooden training nunchaku connected by a short 
chain.",,,
,,Steel Nunchaku,Steel Nunchaku,Nunchaku d'acciaio,
NEW,,"Steel nunchaku with reinforced links and spiked 
ends.",,,
,,Four-Section Staff,Four-Section Staff,Bastone a quattro sezioni,
